isin,start_date,end_date
AT0000612601,2008q3,2010q1
AT0000720008,2002q1,2014q3
AT0000730007,2007q3,2018q4
AT0000743059,2001q1,2018q4
AT0000831706,2004q1,2018q4
AT0000903851,2005q4,2007q3
AT0000937503,2004q1,2018q4
BE0003470755,2001q1,2018q4
BE0003735496,2003q2,2011q4
BE0003739530,2001q1,2018q4
BE0003755692,2003q3,2007q3
BE0003764785,2008q2,2018q4
BE0003785020,2002q3,2003q2
BE0003797140,2002q1,2018q4
BE0003810273,2005q1,2018q4
BE0003818359,2016q4,2018q4
BE0974258874,2008q4,2012q1
BE0974268972,2014q3,2018q1
BE0974293251,2002q1,2018q4
BE0974294267,2011q2,2012q2
BE0974320526,2004q1,2018q4
DE0005089031,2007q1,2018q4
DE0005190003,2001q1,2018q4
DE0005278006,2001q2,2003q2
DE0005408884,2012q2,2015q3
DE0005421903,2001q1,2003q1
DE0005439004,2001q1,2018q4
DE0005470405,2006q1,2018q4
DE0005501357,2011q1,2018q4
DE0005545503,2017q3,2018q4
DE0005552004,2002q4,2018q4
DE0005557508,2001q1,2018q4
DE0005557706,2001q4,2005q4
DE0005558662,2006q3,2009q4
DE0005565204,2015q1,2018q2
DE0005664809,2001q1,2018q4
DE0005753008,2001q3,2004q2
DE0005773303,2005q4,2018q4
DE0005785604,2011q1,2018q4
DE0005785802,2006q1,2018q4
DE0005790430,2011q3,2018q4
DE0005909006,2005q3,2017q2
DE0005937007,2001q1,2018q4
DE0006047004,2001q1,2018q4
DE0006062144,2016q2,2018q4
DE0006070006,2004q2,2018q4
DE0006202005,2005q4,2013q2
DE0006231004,2002q1,2018q4
DE0006483001,2001q1,2017q3
DE0006599905,2001q1,2018q4
DE0006602006,2001q1,2018q4
DE0006605009,2001q1,2004q2
DE0006632003,2014q3,2018q4
DE0006766504,2008q3,2018q4
DE0007030009,2005q3,2018q4
DE0007042301,2007q2,2014q4
DE0007100000,2001q1,2018q4
DE0007164600,2001q2,2018q4
DE0007172009,2001q1,2006q2
DE0007235301,2001q1,2012q4
DE0007236101,2001q1,2018q4
DE0007251803,2002q4,2017q4
DE0007297004,2002q3,2014q1
DE0007314007,2001q1,2008q1
DE0007500001,2001q1,2018q4
DE0007600801,2001q1,2007q2
DE0007664039,2010q1,2018q4
DE000A0CAYB2,2006q2,2014q2
DE000A0D9PT0,2009q1,2018q4
DE000A0LD6E6,2008q4,2018q4
DE000A0N4P43,2008q1,2011q2
DE000A0WMPJ6,2001q1,2009q4
DE000A0Z2ZZ5,2012q2,2018q4
DE000A12DM80,2017q1,2018q4
DE000A13SX22,2018q1,2018q4
DE000A161N30,2018q1,2018q4
DE000A1681X5,2001q4,2003q4
DE000A1DAHH0,2011q1,2018q4
DE000A1J5RX9,2013q1,2018q4
DE000A1YCMM2,2006q1,2010q4
DE000A2GS401,2001q1,2018q4
DE000BASF111,2001q1,2018q4
DE000BAY0017,2001q1,2018q4
DE000EVNK013,2014q1,2018q4
DE000KC01000,2007q3,2012q2
DE000KGX8881,2015q2,2018q4
DE000KSAG888,2004q2,2018q4
DE000PAH0038,2001q1,2018q4
DE000PSM7770,2001q1,2018q4
DE000SHA0159,2016q3,2018q2
DE000SKYD000,2006q1,2014q3
DE000SYM9999,2008q1,2018q4
DE000WAF3001,2017q4,2018q4
DE000WCH8881,2007q1,2018q3
ES0105046009,2016q1,2018q4
ES0105066007,2016q1,2018q4
ES0109067019,2011q1,2018q4
ES0109169013,2001q4,2004q2
ES0109427734,2004q4,2006q4
ES0111845014,2001q1,2018q1
ES0112501012,2002q4,2014q2
ES0118594417,2001q1,2012q1
ES0118900010,2004q4,2018q4
ES0122060314,2001q2,2011q2
ES0127070110,2001q1,2003q3
ES0132105018,2001q1,2013q1
ES0134950F36,2007q1,2009q2
ES0152503035,2005q1,2017q3
ES0167050915,2001q1,2018q4
ES0171743901,2001q1,2005q4
ES0171996087,2007q2,2018q4
ES0173516115,2001q1,2018q4
